[2016-07-01 19:11:07] error.ERROR: [1004:参数错误]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:17] [] []
[2016-07-01 19:22:48] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 3 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:22:48] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:35] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 3 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:35] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:47] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 3 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:47] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:48] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 3 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:48] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:56] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:24:56] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:04] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:04] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:05] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:05] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:05] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:05] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:05] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:26:05] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:35] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:35] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:36] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:36] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
